,Status,User ID,"Reason (manually added, not 100% clear)",Created at
,OFF,d5af7e63-a04b-46ad-98d2-d6b483958b4f,1_Cancelled,11/04/2018
,OFF,0af79045-0ec3-4004-ab48-5b5feaf1f591,3_Repaid,11/04/2018
,OFF,428056c9-4baf-4363-bcdb-28d0d3e32ab7,3_Repaid,12/04/2018
,OFF,0cc27f6a-22ba-41f7-b5df-340aaca7f18f,1_Cancelled,17/04/2018
,OFF,40c7900b-b29c-47a5-a1b7-82062bc2b648,1_Cancelled,18/04/2018
,OFF,7e694aac-d2e4-491f-9cdc-9dcc009a9459,3_Repaid,19/04/2018
,OFF,24892f36-7fed-4fb2-9f5e-411271d6594f,1_Cancelled,23/04/2018
,OFF,1431b1d2-d5ae-450d-81df-8572b4c4f4bf,1_Cancelled,30/04/2018
,OFF,4ea5cb7e-46ee-491d-a0fd-eaeeeedfb556,1_Cancelled,30/04/2018
,OFF,7357644b-c986-4c6e-a018-947d1d8ecf19,1_Cancelled,03/05/2018
,OFF,d18f7950-4d40-470a-9c3c-3f7dcfb4dc27,3_Repaid,03/05/2018
,OFF,398f5eab-3de9-42d9-beaa-62f0f1cdf3b0,1_Cancelled,11/05/2018
,OFF,34a71274-6e89-4078-befc-693cd15cc44b,1_Cancelled,11/05/2018
,OFF,981817d2-d125-42c6-9e2e-84bf09de3d73,1_Cancelled,11/05/2018
,OFF,d18f7950-4d40-470a-9c3c-3f7dcfb4dc27,1_Cancelled,11/05/2018
,OFF,8e694cf4-bbd8-44db-9b77-d4e3bb17c6b5,3_Repaid,11/05/2018
,OFF,398f5eab-3de9-42d9-beaa-62f0f1cdf3b0,1_Cancelled,14/05/2018
,OFF,e3675026-f30d-468d-8d32-c3289cbd89a8,1_Cancelled,15/05/2018
,OFF,f31daf26-7717-429c-8bcb-69f82409488a,1_Cancelled,16/05/2018
,OFF,f4394727-16c0-481d-adee-70d9f8eb6ff1,1_Cancelled,16/05/2018
,OFF,90aebff3-4daf-40db-837c-4b34c549b9dd,3_Repaid,16/05/2018
,OFF,96dbab30-e83a-4b32-a835-be0e99be2ce8,1_Cancelled,17/05/2018
