iter	Tweedie:variance_power=1.1
177	9.670089179
178	9.67006354
179	9.670033849
180	9.67001322
181	9.669983547
182	9.669964505
183	9.669949572
184	9.669928606
185	9.669909449
186	9.66988265
187	9.669857389
188	9.669835002
189	9.669810556
190	9.669767205
191	9.669740046
192	9.669698433
193	9.669659075
194	9.669639596
195	9.669609995
196	9.669579622
197	9.669559634
198	9.669526426
199	9.669515252
200	9.669482621
201	9.669461339
202	9.669432828
203	9.669404344
204	9.669377893
205	9.669357014
206	9.669340898
207	9.66931576
208	9.669294624
209	9.669274524
210	9.669253406
211	9.669232433
212	9.669201168
213	9.669184835
214	9.669168437
215	9.669132694
216	9.669102161
217	9.669078623
218	9.669063695
219	9.669035103
220	9.669012896
221	9.668996969
222	9.668976329
223	9.668961785
224	9.668930037
225	9.668912979
226	9.668897799
227	9.668882703
228	9.668854333
229	9.66882145
230	9.668803091
231	9.668785381
232	9.668769963
233	9.66875544
234	9.668741491
235	9.668714383
236	9.66869911
237	9.668679086
238	9.668653468
239	9.668631874
240	9.668599554
241	9.668571689
242	9.668551614
243	9.668539531
244	9.668528076
245	9.668518131
246	9.668494136
247	9.668480663
248	9.668466891
249	9.668455213
250	9.668444333
251	9.668422013
252	9.668396284
253	9.668385739
254	9.668360261
255	9.668347635
256	9.668337746
257	9.668324382
258	9.668302158
259	9.668278731
260	9.668267412
261	9.668246915
262	9.668224178
263	9.668208683
264	9.668199562
265	9.668189677
266	9.668173176
267	9.668160868
268	9.668138988
269	9.668126762
270	9.668104961
271	9.668084691
272	9.668073042
273	9.668049884
274	9.668039541
275	9.6680271
276	9.668018514
277	9.667997533
278	9.667980215
279	9.667969661
280	9.667949606
281	9.667940841
282	9.667928346
283	9.667915684
284	9.667891605
285	9.667878927
286	9.667869402
287	9.667855061
288	9.667842972
289	9.667828907
290	9.667800905
291	9.667794054
292	9.667784965
293	9.667773392
294	9.667764782
295	9.66774607
296	9.667724685
297	9.667715714
298	9.667700758
299	9.667685873
300	9.667675176
301	9.667667363
302	9.667659806
303	9.667647608
304	9.66763562
305	9.667622333
306	9.667609437
307	9.667594577
308	9.667565427
309	9.667543495
310	9.667525082
311	9.667513761
312	9.667506448
313	9.667496509
314	9.667488593
315	9.667464586
316	9.667456991
317	9.667448053
318	9.667427038
319	9.667415433
320	9.667408601
321	9.667401986
322	9.667392544
323	9.667385564
324	9.667372304
325	9.667359588
326	9.667350598
327	9.667335799
328	9.667330423
329	9.667309197
330	9.66728903
331	9.6672717
332	9.667260759
333	9.66725463
334	9.667233083
335	9.667226664
336	9.667211689
337	9.667199651
338	9.667186396
339	9.667171146
340	9.667152757
341	9.667129946
342	9.667114637
343	9.667108606
344	9.667100194
345	9.667087846
346	9.667074853
347	9.66706394
348	9.66705547
349	9.667038105
350	9.667019072
351	9.667014789
352	9.667007259
353	9.666996381
354	9.666987212
355	9.666978464
356	9.666960743
357	9.666947052
358	9.666936296
359	9.666919117
360	9.666910133
361	9.666885062
362	9.666879155
363	9.666867531
364	9.6668522
365	9.666847193
366	9.666832103
367	9.666826764
368	9.666819539
369	9.666811746
370	9.666805774
371	9.666799606
372	9.666788458
373	9.666773689
374	9.666766222
375	9.666749838
376	9.66674036
377	9.6667342
378	9.666727392
379	9.666720578
380	9.666705679
381	9.666693974
382	9.666686215
383	9.666670359
384	9.666664412
385	9.666658419
386	9.666653475
387	9.666645931
388	9.666628419
389	9.666617909
390	9.666606797
391	9.666599742
392	9.66659195
393	9.666585413
394	9.666580028
395	9.666574716
396	9.666562527
397	9.666554027
398	9.66653294
399	9.666526012
400	9.666517699
401	9.666512757
402	9.666504506
403	9.66649919
404	9.666493988
405	9.666489797
406	9.666474598
407	9.666459107
408	9.666450928
409	9.666447383
410	9.666432146
411	9.66641542
412	9.66640687
413	9.66639856
414	9.666393206
415	9.666378102
416	9.666368513
417	9.666364982
418	9.666359414
419	9.666349513
420	9.666339713
421	9.666321575
422	9.666312843
423	9.666303413
424	9.666292751
425	9.666287301
426	9.666280548
427	9.666267156
428	9.666259838
429	9.666253682
430	9.666246637
431	9.666239766
432	9.666233428
433	9.666225528
434	9.666215741
435	9.666203601
436	9.666195555
437	9.666191368
438	9.666170912
439	9.666163193
440	9.666156401
441	9.666151532
442	9.666142381
443	9.66613686
444	9.666128205
445	9.666122922
446	9.666117113
447	9.666113346
448	9.666107725
449	9.666102073
450	9.666093729
451	9.666091303
452	9.666083893
453	9.666078275
454	9.666071604
455	9.666055974
456	9.666051716
457	9.666044569
458	9.666031828
459	9.666026349
460	9.666018284
461	9.666010036
462	9.66600424
463	9.665992932
464	9.66598641
465	9.66597338
466	9.665968487
467	9.665958568
468	9.665949823
469	9.665940026
470	9.665936401
471	9.665930853
472	9.665925762
473	9.665920129
474	9.66591283
475	9.665906609
476	9.665895614
477	9.665890577
478	9.665876277
479	9.665869359
480	9.665864418
481	9.665856339
482	9.66584459
483	9.665838095
484	9.665833507
485	9.665825819
486	9.6658214
487	9.665816387
488	9.665811838
489	9.665808298
490	9.66579407
491	9.665786775
492	9.665783656
493	9.665780695
494	9.66577309
495	9.665767436
496	9.665764748
497	9.665758271
498	9.665754351
499	9.665750206
500	9.665746215
501	9.665738616
502	9.665731041
503	9.665724717
504	9.665720554
505	9.665715564
506	9.665711455
507	9.665704555
508	9.665697409
509	9.665693053
510	9.665681644
511	9.665676481
512	9.665668612
513	9.665661372
514	9.665649048
515	9.665638454
516	9.665635142
517	9.665628781
518	9.665616228
519	9.665606174
520	9.665598131
521	9.665592076
522	9.66558808
523	9.665582549
524	9.665580339
525	9.665579117
526	9.665575609
527	9.665569604
528	9.665558297
529	9.66555172
530	9.665540029
531	9.665530916
532	9.665526354
533	9.665509693
534	9.665490754
535	9.665486709
536	9.66548363
537	9.665479549
538	9.665476823
539	9.665471393
540	9.665469546
541	9.665467083
542	9.665453583
543	9.665447578
544	9.665438877
545	9.665432189
546	9.66542837
547	9.665426912
548	9.665422949
549	9.665410715
550	9.66540253
551	9.665391184
552	9.665387313
553	9.665383146
554	9.66537744
555	9.665372648
556	9.66536665
557	9.665363947
558	9.665357976
559	9.665350898
560	9.665348604
561	9.665344637
562	9.665341287
563	9.66533197
564	9.665328507
565	9.665323131
566	9.665313254
567	9.665307636
568	9.665302095
569	9.66528549
570	9.665270616
571	9.665266788
572	9.665258859
573	9.665250508
574	9.665247271
575	9.665245199
576	9.665240397
577	9.66522725
578	9.665218832
579	9.665210834
580	9.665203554
581	9.665194927
582	9.665193219
583	9.665189287
584	9.665175428
585	9.665168972
586	9.665165229
587	9.665152212
588	9.66515038
589	9.66514504
590	9.665140922
591	9.665136402
592	9.665133503
593	9.665121018
594	9.66511883
595	9.665112519
596	9.665108672
597	9.665099819
598	9.665092153
599	9.665089362
600	9.665087357
601	9.665083337
602	9.665070891
603	9.66506352
604	9.665050727
605	9.665047125
606	9.665042917
607	9.665040532
608	9.665031405
609	9.665025191
610	9.665021777
611	9.665014595
612	9.665008057
613	9.66500364
614	9.664999552
615	9.664997095
616	9.664978986
617	9.664974434
618	9.664967237
619	9.664961978
620	9.664951974
621	9.664946341
622	9.664936319
623	9.66492303
624	9.664914302
625	9.664907453
626	9.664902005
627	9.664884702
628	9.664879633
629	9.664871244
630	9.664868084
631	9.664863647
632	9.664858623
633	9.664854397
634	9.664838254
635	9.664835407
636	9.664831458
637	9.664828454
638	9.664824621
639	9.664814054
640	9.664810578
641	9.664808244
642	9.664803941
643	9.664802994
644	9.664798191
645	9.664786526
646	9.664779275
647	9.664774582
648	9.664772875
649	9.664766867
650	9.66476204
651	9.664754455
652	9.664747987
653	9.664741245
654	9.664738444
655	9.664732297
656	9.664723883
657	9.664719438
658	9.66471819
659	9.6647156
660	9.664709451
661	9.664706462
662	9.664703359
663	9.664692406
664	9.664685412
665	9.664680035
666	9.664670353
667	9.664666917
668	9.66466339
669	9.664656885
670	9.664644854
671	9.66463961
672	9.66463568
673	9.664633636
674	9.664628261
675	9.66462632
676	9.664624418
677	9.664620641
678	9.664614896
679	9.664607187
680	9.664595787
681	9.664592043
682	9.664587996
683	9.664576413
684	9.664567807
685	9.66456448
686	9.664551174
687	9.664546024
688	9.664534659
689	9.664527675
690	9.664520241
691	9.66451588
692	9.664511016
693	9.664500822
694	9.664498141
695	9.664489695
696	9.664486
697	9.664481579
698	9.664469941
699	9.664463442
700	9.664459382
701	9.664452414
702	9.664448666
703	9.664441259
704	9.664436935
705	9.664431075
706	9.664425089
707	9.664420594
708	9.664413713
709	9.664408136
710	9.664400945
711	9.664396983
712	9.664389242
713	9.664380745
714	9.664370544
715	9.664365111
716	9.664354749
717	9.664350111
718	9.664348499
719	9.664342717
720	9.664336909
721	9.664332995
722	9.664329894
723	9.664325168
724	9.664317183
725	9.664314304
726	9.664311347
727	9.664304951
728	9.664303682
729	9.664300249
730	9.664295608
731	9.664292439
732	9.664288338
733	9.664286076
734	9.664283365
735	9.664279764
736	9.6642737
737	9.664271811
738	9.664268827
739	9.664266865
740	9.664253011
741	9.664250765
742	9.664245963
743	9.66424105
744	9.664237033
745	9.664230992
746	9.664224323
747	9.664216974
748	9.66421411
749	9.664208968
750	9.664198939
751	9.664196347
752	9.66419065
753	9.664188776
754	9.664184572
755	9.664181634
756	9.664170785
757	9.664168826
758	9.664163402
759	9.664153029
760	9.664150277
761	9.664146641
762	9.664142301
763	9.664136849
764	9.664134346
765	9.664132386
766	9.664131626
767	9.664127356
768	9.664118058
769	9.664106463
770	9.664100047
771	9.664096832
772	9.664087985
773	9.664082435
774	9.66407898
775	9.664075486
776	9.66407088
777	9.66406478
778	9.664061939
779	9.664058774
780	9.664054732
781	9.664049347
782	9.664044668
783	9.664037984
784	9.664035331
785	9.664033849
786	9.664029583
787	9.664023192
788	9.66401797
789	9.664013919
790	9.66400973
791	9.664005175
792	9.663999934
793	9.663997914
794	9.66399472
795	9.66398987
796	9.663986743
797	9.663983791
798	9.663983186
799	9.663977453
800	9.66397348
801	9.663971989
802	9.66396753
803	9.663964802
804	9.663958442
805	9.663957682
806	9.663949274
807	9.663944178
808	9.663939393
809	9.663935677
810	9.66393297
811	9.663926791
812	9.663925179
813	9.66392216
814	9.663911606
815	9.663908259
816	9.663903845
817	9.663898249
818	9.663893522
819	9.663890767
820	9.663883675
821	9.663882689
822	9.663877651
823	9.663875581
824	9.663870646
825	9.663864025
826	9.663860217
827	9.663856787
828	9.663851915
829	9.663845088
830	9.663843195
831	9.663835401
832	9.663827447
833	9.663819142
834	9.663815403
835	9.663806983
836	9.663803305
837	9.663800254
838	9.663795529
839	9.663788214
840	9.66378021
841	9.66377725
842	9.663776179
843	9.663770948
844	9.66375876
845	9.663750014
846	9.66374845
847	9.663738881
848	9.663736157
849	9.663725742
850	9.663721499
851	9.663718714
852	9.663717411
853	9.663704459
854	9.663696865
855	9.663694438
856	9.663686037
857	9.66368243
858	9.663679631
859	9.663670304
860	9.663668474
861	9.663655168
862	9.663650623
863	9.663646976
864	9.663643412
865	9.663638667
866	9.663630572
867	9.663628683
868	9.663623611
869	9.663622811
870	9.663615387
871	9.663612635
872	9.663609468
873	9.663606332
874	9.663592902
875	9.663583559
876	9.663580541
877	9.663578038
878	9.663572276
879	9.6635706
880	9.66356542
881	9.663561182
882	9.663553998
883	9.663548714
884	9.663542708
885	9.663537413
886	9.663533742
887	9.66352842
888	9.663525048
889	9.663521555
890	9.663517915
891	9.663514298
892	9.663507809
893	9.663504142
894	9.663498637
895	9.663493126
896	9.663481855
897	9.663480694
898	9.663478543
899	9.663475692
900	9.66346961
901	9.663466987
902	9.663459942
903	9.663459127
904	9.663453141
905	9.663450408
906	9.66344809
907	9.663443152
908	9.663439256
909	9.663434987
910	9.663429525
911	9.663418846
912	9.663415901
913	9.66341301
914	9.663409942
915	9.663407076
916	9.663406202
917	9.663402861
918	9.663402548
919	9.663392918
920	9.663391147
921	9.663387341
922	9.663378101
923	9.663373471
924	9.663366346
925	9.663363152
926	9.663358165
927	9.663355953
928	9.663352829
929	9.663350335
930	9.663345858
931	9.663344945
932	9.663337375
933	9.663330205
934	9.663328699
935	9.663318328
936	9.663316649
937	9.663310568
938	9.663308532
939	9.663304858
940	9.663300533
941	9.663298187
942	9.663295299
943	9.66329396
944	9.663290117
945	9.663284082
946	9.663282603
947	9.663279089
948	9.663275712
949	9.663272525
950	9.663269592
951	9.663265298
952	9.663261838
953	9.663256987
954	9.663254301
955	9.663252277
956	9.663250141
957	9.663243636
958	9.663235096
959	9.663232329
960	9.663229254
961	9.663227794
962	9.66322333
963	9.663220391
964	9.663215171
965	9.663212725
966	9.663208889
967	9.663205607
968	9.663202512
969	9.663198625
970	9.663192334
971	9.663188471
972	9.663182067
973	9.663175864
974	9.663173548
975	9.663170592
976	9.663166847
977	9.663164483
978	9.663159236
979	9.663157666
980	9.663152253
981	9.66314871
982	9.663142153
983	9.663138866
984	9.663137895
985	9.663137117
986	9.663130109
987	9.663128906
988	9.663123028
989	9.663120492
990	9.663116212
991	9.66311239
992	9.663102397
993	9.663101061
994	9.663099495
995	9.663096405
996	9.663089864
997	9.663087863
998	9.663085851
999	9.66308276
